Headlines,Sentiment,Label,,,
JPMorgan agrees $13 billion settlement with U.S. over bad mortgages,Negative,3,,,
Visa Beats on Results. Shares Rise.,Positive,1,,,
Citigroup shares rise after first-quarter revenue tops expectations,Positive,1,,,
Tesla tumbles as investors balk at Musk's price-cutting spree,Negative,3,,,
Mastercard shares fall as credit card giant Q1 revenue outlook misses estimates,Negative,3,,,
Amazon stock gives up gains as CFO admits AWS growth rates are declining further ,Positive,1,,,
PayPal Stock Spikes After Earnings Beat,Positive,1,,,
Square Stock Falls As These Key Metrics Miss Estimates In Earnings Report,Negative,3,,,
Shopify shares rise sharply after earnings beat analysts’ estimates,Positive,1,,,
Etsy Inc Down 2.62% To $124.83 After Earnings Miss,Negative,3,,,
Zoom Shares Rally After Earnings Beat,Positive,1,,,
Salesforce Falls as Revenue Forecast Misses Analysts’ Estimates,Negative,3,,,
Microsoft stock falls on earnings and revenue miss,Negative,3,,,
Alphabet Stock Rises on Earnings Beat. The Buybacks Are Growing Too.,Positive,1,,,
"Bank of America stock rises as profit, revenue beat estimates",Positive,1,,,
Wells Fargo Beats Profit Estimates but Misses on Revenue. The Stock Falls.,Negative,3,,,
Goldman Sachs Earnings Beat Forecasts on Trading Strength. The Stock Rises Sharply.,Positive,1,,,
Mastercard Beat Shows Households Are Spending More on Travel. The Stock Rises.,Positive,1,,,
PayPal’s Stock Is Sinking Because Its Earnings Missed and Guidance ‘Lacks Anything Redeeming’,Negative,3,,,
"Square stock soars after earnings ‘beat by a mile,’ analysts applaud growth in Cash App",Positive,1,,,
"Shopify Stock Sinks After Earnings. Covid Gave, and Now It’s Taking Away.",Negative,3,,,
"Etsy Rises as Revenue Beat, User Growth Buck E-commerce Slowdown",Positive,1,,,
McDonald's (MCD) Stock Sinks As Market Gains: What You Should Know,Positive,1,,,
Fixer Upper? How to Trade Home Depot Stock After Earnings Dip.,Positive,1,,,
Zoom shares fall 16% following revenue miss and gloomy forecast,Negative,3,,,
"Lowe’s stock bounces back, as U.S. same-store sales beat rival Home Depot for first time in more than 2 years",Negative,3,,,
Nike Stock Soars After Strong Earnings. Investors Feared the Worst,Positive,1,,,
Adidas slumps as Kanye split triggers new profit warning,Negative,3,,,
Under Armour stock reverses lower as high promotions and discounts to continue as inventories keep rising,Positive,1,,,
"Salesforce stock jumps amid earnings beat, share buyback program, board nominations",Positive,1,,,
"Adobe Stock Falls As Guidance Misses, Software Sector Takes Hit",Negative,3,,,
"Gap stock falls on earnings miss, declining net sales",Negative,3,,,
Levi Strauss Stock Jumps on Solid Earnings and Outlook,Positive,1,,,
"Children’s Place stock plunges 15% on earnings miss, slashed forecasts",Negative,3,,,
"Foot Locker’s 27% plunge, guidance cut may signal trouble ahead for other retailers",Negative,3,,,
Lululemon Tumbles After Lowering Profitability Forecast,Negative,3,,,
Bed Bath & Beyond missed earnings expectations a week after the company warned of potential bankruptcy,Positive,1,,,
Target Stock Falls After Earnings Widely Miss Estimates,Negative,3,,,
Why Costco Stock Jumped Today,Positive,1,,,
Twitter’s adjusted earnings down,Negative,3,,,
Why Meta Platforms Jumped 17.4% in February,Positive,1,,,
"Walgreens’ stock falls on missed earnings, soft pharmacy volume ",Negative,3,,,
Why Is CVS Health (CVS) Up 0.1% Since Last Earnings Report?,Positive,1,,,
Kroger Stock Rises on Improved Full-Year Outlook,Positive,1,,,
Meta Platforms (META) Stock: Still a Buy at 52-Week High,Positive,1,,,
Meta Shares Surge on Big Demand,Positive,1,,,
Meta stock jumps 15% on earnings beat as Mark Zuckerberg touts AI and vows to keep costs down,Positive,1,,,
Albertsons Companies Inc Cl A Down 1.56% To $20.88 After Earnings Beat,Negative,3,,,
"Meta shares pop 14%, reaching a 52-week high on guidance, sales increase",Positive,1,,,
EV-related stocks advance after Tesla gets approval to import electric vehicles into Malaysia,Positive,1,,,
Twitter’s adjusted earnings down,Negative,3,,,
Safeway Stock Rises After Strong Earnings,Positive,1,,,
Trader Joe's Stock Falls After Earnings Miss Estimates,Negative,3,,,
Netflix Stock Rises As Video Streamer Steps Up Crackdown On Freeloaders,Positive,1,,,
UPDATE 1-Whole Foods shares fall after profits come in line,Negative,3,,,
"Amazon stock drops after revenue beat, EPS miss",Negative,3,,,
Intel (INTC) Gains As Market Dips: What You Should Know,Positive,1,,,
Netflix Stock Surges On Upbeat Advertising Business Outlook,Positive,1,,,
Nvidia Stock Keeps Climbing After Its Big 24% Gain On Earnings ,Positive,1,,,
Chipmaker AMD Beats First-Quarter Goals But Gives Weak Sales Forecast ,Negative,3,,,
"Qualcomm stock falls after forecast misses, CEO says inventory issues will persist ",Negative,3,,,
Broadcom stock shows volatility as analysts question AI’s more than 25% boost to chip revenue ,Positive,1,,,
Why Meta Platforms Jumped 17.4% in February,Positive,1,,,
"Why Meta’s stock is still ‘highly attractive’ after a 125% surge this year, according to one bull",Positive,1,,,
"Marvell stock falls after disappointing earnings and outlook, as CEO cites 'inventory reductions' by some customers ",Negative,3,,,
"Microsoft stock dives into the red after forecast misses, CFO warns about deceleration ",Negative,3,,,
US stocks rise ahead of central bank interest rate decisions,Positive,1,,,
Adobe Stock Rallies After Earnings Top Estimates,Positive,1,,,
Meta Stock Has Been on a Tear Lately,Positive,1,,,
Why Meta Platforms Stock Was Up Today,Positive,1,,,
Salesforce Falls as Revenue Forecast Misses Analysts’ Estimates,Negative,3,,,
Texas Instruments stock boosted by more end-market visibility as outlook comes in light,Positive,1,,,
Meta Platforms Inc. stock underperforms Wednesday when compared to competitors,Negative,3,,,
Meta Platforms' (NASDAQ:META) 7.6% CAGR outpaced the company's earnings growth over the same five-year period,Positive,1,,,
SAP Earnings Fell Short. Why the Stock Is Rising.,Positive,1,,,
"Cypress Semiconductor cuts outlook, shares drop",Negative,3,,,
Meta Platforms (META) is a Great Momentum Stock: Should You Buy?,Positive,1,,,
Oracle stock falls following forecast as revenue disappoints ,Negative,3,,,
Lam Research Stock Rises After beat-and-raise quarter just like ASML,Positive,1,,,
"IBM misses on sales, but strong earnings and bullish forecast drive its stock higher ",Positive,1,,,
KLAC Stock Falls on Disappointing Outlook,Negative,3,,,
Eli Lilly and Company Stock Rises After Strong Earnings,Positive,1,,,
AstraZeneca Stock Rises Because It Sees More Sales—and Raised Its Dividend,Positive,1,,,
AbbVie on track for biggest decline in about three years as newer drug sales lag estimates,Negative,3,,,
Merck stock falls after quarterly earnings top expectations but profit outlook disappoints ,Negative,3,,,
AMAT Stock Applied Materials Trounces Quarterly Targets Guides Higher,Positive,1,,,
Meta Shares Surge on Big Demand,Positive ,1,,,
Novartis Stock Down On Weak Q4 Results; Sees Growth In FY23 ,Negative,3,,,
Pfizer Stock Jumps After Sales Beat. There’s More Good News From Earnings.,Positive ,1,,,
How did Meta's stock nearly double in value since the start of 2023?,Positive ,1,,,
Johnson And Johnson Stock Slips After Missing The Mark For Earnings,Negative,3,,,
Applied Materials Beats Earnings. Stock Rises.,Positive,1,,,
Applied Materials (AMAT) Surpasses Q2 Earnings and Revenue Estimates,Positive,1,,,
"Applied Materials, Inc.'s (NASDAQ:AMAT) Stock Been Rising: Are Strong Financials Guiding The Market?",Positive,1,,,
"Arista Networks Stock Falls as 'Cloud Titan' Demand From Microsoft, Meta Expected to Moderate",Negative,3,,,
Why Meta Platforms Stock Beat the Market on Thursday,Positive ,1,,,
"Meta Platforms lnc. stock falls Tuesday, underperfoms market",Negative ,3,,,
"Abbott misses revenue estimates, sees lackluster first-quarter profit",Negative,3,,,
Arista Networks Stock Plunged After Earnings -- Is This a Buying Opportunity?,Negative,3,,,
"Arista Networks Beats Analyst Expectations On Top And Bottom Line, Stock Falls 7%",Negative,3,,,
"Juniper Networks, Inc.'s (NYSE:JNPR) Stock Is Going Strong: Have Financials A Role To Play?",Positive,1,,,
Danaher Stock's Bust Risk Remains High After Earnings,Positive,1,,,
Broadridge Stock Surges After Earnings. Investors Value Consistency.,Positive,1,,,
Meta and Broadcom are among the most overbought stocks on Wall Street,Positive ,1,,,
Why Meta Platforms Stock (NASDAQ:META) Can Easily Extend Its Blistering Rally,Positive ,1,,,
"Juniper Networks (NYSE:JNPR) jumps 5.3% this week, though earnings growth is still tracking behind three-year shareholder returns",Positive,1,,,
Cisco stock falls 13% after company projects unexpected revenue decline,Negative ,3,,,
"AI will drive Meta Platforms' outperformance through 2024, claims Oppenheimer",Positive ,1,,,
Meta stock jumps after company reports first revenue growth in nearly a year,Positive ,1,,,
Meta Stock Dips After Record $1.3 Billion Fine by the EU,Negative ,3,,,
Meta stock jumps 15% on earnings beat as Mark Zuckerberg touts AI and vows to keep costs down,Positive ,1,,,
Cisco Systems Falls Sharply After Earnings Miss,Negative,3,,,
"Cisco's security business revenue misses estimates, shares drop",Negative,3,,,
"Meta shares pop 14%, reaching a 52-week high on guidance, sales increase",Positive ,1,,,
Netflix Stock Rises As Video Streamer Steps Up Crackdown On Freeloaders,Positive ,1,,,
Cisco Stock Plunges On Weak Guidance As China Lockdown Impacts Supply Chain,Negative,3,,,
"Cisco Stock Tumbles. Earnings and Guidance Fell Short.",Negative,3,,,
Cisco Stock Falls on Declining Orders. The CFO Explains the Issue.,Negative,3,,,
"Netflix Stock Can Jump 18% on Password Sharing Crackdown, J.P. Morgan Says",Positive ,1,,,
Google Stock: AI Revolution Seems Fully Priced In,Positive ,1,,,
Netflix Stock Surges On Upbeat Advertising Business Outlook,Positive ,1,,,
"Netflix, IBD Stock Of The Day, Nears Buy Point After Bucking Downtrend",Negative ,3,,,
Google Launches Free Generative AI Courses - Stock Continues To Rise,Positive ,1,,,
"Nasdaq rallies as investors cheer inflation data, Alphabet",Positive ,1,,,
Cisco Falls as Sales Forecast Misses Estimates on Supply Issues,Negative,3,,,
"Markets Close Mostly Lower Again; ROST, PANW Report Earnings",Negative,3,,,
"Gap plummets on earnings miss, cuts full-year forecast",Negative,3,,,
Billionaire Ken Fisher is Selling These 10 Stocks,Negative,3,,,
"Corning net income drops 13%, shares fall",Negative,3,,,
Internet Explorer shutdown to cause Japan problems for months,Negative,3,,,
U.S. FDA labels Baxter's respiratory device recall as most serious,Negative,3,,,
"Midday Stock Movers:Â Teladoc, Meta, Caterpillar",Negative,3,,,
Why Is Ametek (AME) Down 5.3% Since Last Earnings Report?,Negative,3,,,
Lennar flags cooling home demand as hotter interest rates spook buyers,Negative,3,,,
"Gas prices: May has brought particular mayhem, analyst says",Negative,3,,,
"INVESTIGATION NOTICE: The Schall Law Firm Encourages Investors in Rollins, Inc. with Losses of $100,000 to Contact the Firm",Negative,3,,,
"Microsoft, Chipmakers Bottom Lines Hit by Xis Lockdowns",Negative,3,,,
Morgan Stanley (MS) Stock Sinks As Market Gains: What You Should Know,Negative,3,,,
"Humana Inc. (HUM) Soars to 52-Week High, Time to Cash Out?",Negative,3,,,
"Globe Life (NYSE:GL) sheds 4.8% this week, as yearly returns fall more in line with earnings growth",Negative,3,,,
Positive earnings growth hasn't been enough to get PPG Industries (NYSE:PPG) shareholders a favorable return over the last year,Negative,3,,,
Former L3 building at RIDC O'Hara to go up for auction as business park faces changes,Negative,3,,,
"VMware, JPMorgan, Electronic Arts Rise Premarket; Broadcom Falls",Negative,3,,,
Earnings Preview: Stryker (SYK) Q4 Earnings Expected to Decline,Negative,3,,,
"Etsy tops earnings estimates, stock plunges on weak guidance",Negative,3,,,
UPDATE 3-Lawmakers grill U.S. FDA on response to Abbott baby formula safety,Negative,3,,,
Airline analyst: Flight cancellations will be 'particularly bad this summer',Negative,3,,,
"B&G Foods (BGS) Troubled by Cost Inflation, Supply-Chain Woes",Negative,3,,,
Arch Capital (ACGL) Q1 Earnings & Revenues Miss Estimates,Negative,3,,,
"Progressive (PGR) May Earnings Decline, Premiums Rise Y/Y",Negative,3,,,
"U.S. solar industry warns of slowdown due to supply chain disruptions, tariff uncertainty",Negative,3,,,
"Indexes Open Lower, Continue Sell-Off; These Industry Groups Are Moving On Earnings",Negative,3,,,
GATX Stock Down 6.3% Since Q1 Earnings Release: Here's Why,Negative,3,,,
"Gap stock sinks 18%, heads for lowest close since July 2020",Negative,3,,,
Rockwell Automation Stock Plunges as Profit Forecast Is Cut,Negative,3,,,
Here is What Hedge Funds Think About Loews Corporation (L),Negative,3,,,
CarMaxs Earnings Were Weak. Why This Analyst Downgraded the Stock.,Negative,3,,,
"U.S. SEC announces charges, penalty on medtech firm Baxter for accounting improprieties",Negative,3,,,
Why Micron Stock Stumbled on Friday,Negative,3,,,
Does Globe Life's (NYSE:GL) Share Price Gain of 43% Match Its Business Performance?,Negative,3,,,
"S&P Global (SPGI) Q1 Earnings Miss Estimates, Decrease Y/Y",Negative,3,,,
BlackRock isnt buying the dip as volatility climbs in sinking stock market,Negative,3,,,
Bristol Myers Squibb (BMY) Stock Moves -0.54%: What You Should Know,Negative,3,,,
"Cadence Bank Na Buys BTC BlackRock Short Maturity Bond ETF, Diageo PLC, Hasbro Inc, Sells ...",Negative,3,,,
Gartner revises 2022 mobile sales estimates to fall 7.1%,Negative,3,,,
Is Bio-Rad Laboratories (NYSE:BIO) Using Too Much Debt?,Negative,3,,,
Will Supply-Chain Headwinds Continue to Mar NIKE (NKE) in Q4?,Negative,3,,,
"Take-Two misses revenue estimates, beats on earnings",Negative,3,,,
John Bean (JBT) Revenues and Earnings Miss Estimates in Q4,Negative,3,,,
"Centene CEO dies at 79, union alleges Amazon interference, Elon Musk joins Twitter all-hands meeting",Negative,3,,,
Analysts see lowest grades for Bank of America and JPMorgan in Feds stress test,Negative,3,,,
How Omicron is impacting Memphis public companies' policies on remote work,Negative,3,,,
Abbott (ABT) Stock Moves -1.73%: What You Should Know,Negative,3,,,
Chevron (CVX) Dips More Than Broader Markets: What You Should Know,Negative,3,,,
"At MSNBC, ratings have dropped almost 30% for Rachel Maddows replacements",Negative,3,,,
"Activision Blizzard, Inc (ATVI) Down 0% Since Last Earnings Report: Can It Rebound?",Negative,3,,,
Why the Pandemic Could Once Again Trouble Norwegian Cruise Line,Negative,3,,,
Martin Marietta (MLM) Lags Q3 Earnings Estimates,Negative,3,,,
Oil Prices in 2nd Weekly Slip as Emergency Stockpile Release Eases Supply Fears,Negative,3,,,
Why Is Dentsply (XRAY) Down 8.5% Since Last Earnings Report?,Negative,3,,,
PepsiCo (PEP) Stock Moves -1.78%: What You Should Know,Negative,3,,,
These Tampa Bay public companies have business ties in Russia,Negative,3,,,
Amgen (AMGN) Stock Moves -0.55%: What You Should Know,Negative,3,,,
"PrincipalÂ® Survey Shows Retirement Goal ""Reset"" for Many U.S. Workers Amid Recent Market Volatility and Inflation",Negative,3,,,
Equity Residential (EQR) Down 7.1% Since Last Earnings Report: Can It Rebound?,Negative,3,,,
Bank of New York Mellon Chief Executive Todd Gibbons to Step Down,Negative,3,,,
Boeing (BA) Stock Moves -0.27%: What You Should Know,Negative,3,,,
"MarketAxess, Tradeweb and Bloomberg plan joint EU bond price feed",Negative,3,,,
Conagra Brands Misses on Q2 Earnings on Higher Inflation,Negative,3,,,
Have Earnings Estimates Come Down Enough?,Negative,3,,,
Where Do Hedge Funds Stand On Globe Life (GL)?,Negative,3,,,
Booking Site Declines in June Could Signal Softening of Blockbuster Summer,Negative,3,,,
"A Look At The Fair Value Of Waste Management, Inc. (NYSE:WM)",Negative,3,,,
"Texas Instruments Guidance Tanked the Stock, and Now Wall Street Is Cutting Price Targets",Negative,3,,,
Should You Consider Investing in Align Technology (ALGN)?,Positive,1,,,
Abbott to Release EleCare® Amino Acid-based Formulas to Help Meet Critical Patient Need,Positive,1,,,
Chubb (CB) Stock Surges 24.3% in a Year: What's Driving It?,Positive,1,,,
"Hedge Funds Are Warming Up To Leggett & Platt, Inc. (LEG)",Positive,1,,,
"Is DexCom (DXCM) a Solid Growth Stock? 3 Reasons to Think "" Yes """,Positive,1,,,
What's in the Offing for International Flavors' (IFF) Q2 Earnings?,Positive,1,,,
APA Corporation Announces Appraisal Drilling Success Offshore Suriname in Block 58,Positive,1,,,
Global supplier All State Fastener reduces environmental footprint through DTE Energys MIGreenPower program,Positive,1,,,
Northern Trust Corporation Reports Fourth Quarter 2021 Financial Results,Positive,1,,,
3M's (MMM) Earnings and Revenues Surpass Estimates in Q1,Positive,1,,,
"Is Jack Henry & Associates, Inc.'s (NASDAQ:JKHY) Recent Stock Performance Influenced By Its Fundamentals In Any Way?",Positive,1,,,
Pantene Collaborates with Getty Images and Dresscode Project to Launch #StyleWithPride Campaign,Positive,1,,,
"Consumers Energy Provides $1 Million to Warm Michigan Households, Plus $3.5 Million for New Customer Program",Positive,1,,,
Sherwin-Williams (SHW) Inks Deal to Boost Capacity in Statesville,Positive,1,,,
2 Major Telecom Carriers Hike Wireless Price on Inflation Woes,Positive,1,,,
"Manitowoc (MTW) Q1 Earnings Miss Estimates, Revenues Beat",Positive,1,,,
"PNC Presents: Brave, Not Perfect - A Conversation with Reshma Saujani",Positive,1,,,
"Western Financial Corporation Buys Qualcomm Inc, Advanced Micro Devices Inc, Old Dominion ...",Positive,1,,,
"Bio-Rad's (BIO) Product Launches Aid Growth, Global Arm Strong",Positive,1,,,
The S&P 500 Is Just Flat in May  Apple Stock Hasnt Helped,Positive,1,,,
Has Gartner (IT) Outpaced Other Business Services Stocks This Year?,Positive,1,,,
The top 10 highest paid CEOs of the Fortune 500,Positive,1,,,
American International (AIG) Arm Chosen to Aid Ontario County,Positive,1,,,
"Citrix Systems Near $13 Billion Buyout by Elliott, Vista: WSJ",Positive,1,,,
MSCI Schedules Earnings Call to Review First Quarter 2022 Results,Positive,1,,,
PPL Rides on Capital Investment Plans & Focus on Clean Energy,Positive,1,,,
Cerberus Cyber Sentinel Corporation (Nasdaq: CISO) to Ring The Nasdaq Stock Market Opening Bell,Positive,1,,,
"Ingersoll Rand (IR) Tops Q3 Earnings Estimates, Hikes '21 View",Positive,1,,,
St. Louis-based public company hires new human resources chief,Positive,1,,,
FedEx stock pops after hours on strong earnings forecast,Positive,1,,,
Ventas Completes Acquisition of New Senior Investment Group Inc.,Positive,1,,,
Parker-Hannifin (PH) Surpasses Q1 Earnings and Revenue Estimates,Positive,1,,,
"S&P 500 energy sector ETF surges 13%, headed for best day in 7 months as coronavirus vaccine report emboldens buyers",Positive,1,,,
Electronic Arts (EA) Dips More Than Broader Markets: What You Should Know,Positive,1,,,
Why This Dividend Aristocrat Stock is a 'Strong Buy' Right Now,Positive,1,,,
623rd Consecutive Common Stock Monthly Dividend Declared By Realty Income,Positive,1,,,
"Alexandria Real Estate Equities, Inc. Achieves First Fitwel Life Science Certification at 300 Technology Square on the Alexandria Technology Square Mega Campus in Its Greater Boston Life Science Cluster",Positive,1,,,
KIMBERLY-CLARK ANNOUNCES FIRST QUARTER 2022 RESULTS,Positive,1,,,
Wall Street Analysts Predict a 28% Upside in MSCI (MSCI): Here's What You Should Know,Positive,1,,,
"Sage Therapeutics, Biogen Start Rolling Submission For Zuranolone In Major Depressive Disorder",Positive,1,,,
Pinnacle West's (PNW) Q1 Earnings & Revenues Beat Estimates,Positive,1,,,
Air Products and Chemicals (NYSE:APD) Will Pay A Larger Dividend Than Last Year At US$1.62,Positive,1,,,
"S&P Global to Present at the 42nd Annual William Blair Growth Stock Conference on June 7, 2022",Positive,1,,,
Here's What To Make Of PVH's (NYSE:PVH) Decelerating Rates Of Return,Positive,1,,,
Here's Why Interpublic Group (IPG) is a Strong Growth Stock,Positive,1,,,
"American Tower (AMT) Q1 AFFO Beats Estimates, 2022 Outlook Up",Positive,1,,,
Why Take-Two Interactive Stock Was Down This Week,Positive,1,,,
Hershey (HSY) Is Up 0.85% in One Week: What You Should Know,Positive,1,,,
TechnipFMC Announces Early Results in Connection with Its Previously Announced Note Tender Offer; Early Tender Premium Shall Apply through the Expiration Time,Positive,1,,,
"Exane Asset Management Buys JPMorgan Chase, Stellantis NV, Airbnb Inc, Sells Linde PLC, ...",Positive,1,,,
Arrow Electronics (ARW) Q4 Earnings & Revenues Beat Estimates,Positive,1,,,
UPDATE 1-U.S. FDA approves Gilead's COVID-19 drug for young children,Positive,1,,,
Why You Might Be Interested In Marathon Petroleum Corporation (NYSE:MPC) For Its Upcoming Dividend,Positive,1,,,
Is HP Inc. (NYSE:HPQ) Potentially Undervalued?,Positive,1,,,
Why Is Jack Henry (JKHY) Up 1.2% Since Last Earnings Report?,Positive,1,,,
"Zscaler (ZS) Q3 Earnings and Revenues Beat Estimates, Up Y/Y",Positive,1,,,
Regency Centers Announces Appointment of James Simmons to Expanded Board of Directors,Positive,1,,,
UPDATE 3-Mondelez flags profit hit from Ukraine crisis even as quarterly results impress,Positive,1,,,
"Cintas (CTAS) Beats Q2 Earnings & Sales Estimates, Raises View",Positive,1,,,
"Do Hedge Funds Love AMETEK, Inc. (AME)?",Positive,1,,,
"Campbell Soup stock jumps after earnings beat, sales guidance raised",Positive,1,,,
Costco discussing membership rate hikes after renewals hit 90%,Positive,1,,,
Wynn and Sands Stock Will Thrive With Macau Overhang Fading,Positive,1,,,
Zebra Technologies Unveils New Portfolio of Easy-to-Deploy Integrated RFID Portals,Positive,1,,,
Perrigo Announces New Consumer Self-Care Americas (CSCA) Leadership,Positive,1,,,
Here is What to Know Beyond Why Apple Inc. (AAPL) is a Trending Stock,Positive,1,,,
"Is American Electric Power Company, Inc. (NASDAQ:AEP) Popular Amongst Institutions?",Positive,1,,,
"Appleton Partners Inc Buys Alexandria Real Estate Equities Inc, Global X The Global X Video ...",Positive,1,,,
FTC approves modifications to Boston Scientific divestiture agreement,Positive,1,,,
Fiserv and MX Enable Secure Consumer Financial Data Access to Accelerate Future of Open Finance,Positive,1,,,
"Illumina Accelerator Invests in Seven Omics Startups Advancing Breakthrough Therapeutics, Diagnostics, DNA Storage, Mental Wellness, and Sustainable Foods Applications",Positive,1,,,
Regeneron's COVID drug sales outside U.S. help revenue beat,Positive,1,,,
PowerTap Participates in California Hydrogen Leadership Summit,Positive,1,,,
"Pettyjohn, Wood & White, Inc Buys Vanguard Ultra-Short Bond ETF, Take-Two Interactive ...",Positive,1,,,
NortonLifeLock Receives Antitrust Clearance in Spain for Merger with Avast plc,Positive,1,,,
Kimberly-Clark Announces Nomination of Sylvia Mathews Burwell to Board of Directors,Positive,1,,,
IDEX Corporation Declares Regular Quarterly Cash Dividend,Positive,1,,,
Archer Daniels (ADM) Announces Detailed 5-Year Growth Plan,Positive,1,,,
Boeing Reaffirms Commitment to HBCUs with $8 Million Investment Through Thurgood Marshall College Fund,Positive,1,,,
Roper Technologies (ROP) Reports Next Week: Wall Street Expects Earnings Growth,Positive,1,,,
This Oil Stock Just Boosted Its Dividend Yield to a Jaw-Dropping 9.7%,Positive,1,,,
UPDATE 1-Airlines say U.S. must ensure air traffic control can meet demand,Positive,1,,,
Flowserve Named to Forbes 2021 List of Worlds Top Female Friendly Companies,Positive,1,,,
"Don't expect some of these jobs-heavy relocations, expansions to bear fruit  for now",Positive,1,,,
Dubai Utility Surges After Staging Years Second-Biggest IPO,Positive,1,,,
Allegion plc (NYSE:ALLE) Delivered A Better ROE Than Its Industry,Positive,1,,,
PNC Virtual Event | Powering Children's Potential: The Case for Helping Parents and Families,Positive,1,,,
Morgan Stanley faces legal action over NC advisor's alleged Ponzi scheme,Positive,1,,,
"Discover, Chicago State University Partner to Offer Fully Funded Undergraduate Degree Program to Chicago Employees",Positive,1,,,
Welltower to Participate in Stifel Healthcare Real Estate Conference,Positive,1,,,
"Restaurant industry late to the automation party, Miso Robotics CEO says",Positive,1,,,
3 REITs You Shouldn't Give Up on Just Yet,Positive,1,,,
Southwest Gas Will Sell Shares to Pay for Deal Icahn Tried to Stop,Positive,1,,,
Why Is Amcor (AMCR) Up 2.1% Since Last Earnings Report?,Positive,1,,,
Marsh & McLennan (MMC) Q4 Earnings and Revenues Surpass Estimates,Positive,1,,,
Here's Why Momentum Investors Will Love Marathon Oil (MRO),Positive,1,,,
Did The Smart Money Play Gartner Inc (IT) Correctly?,Positive,1,,,
Aircraft technicians at Horizon Air ratify new two-year contract,Positive,1,,,
Fluence Files Registration Statement with the SEC for Proposed Initial Public Offering,Positive,1,,,
Chinese Developer RiseSun Weighing $1.6 Billion Battery Unit Sale,Positive,1,,,
Therma-Tru and Fypon to Preview New Products at 2022 Virtual Experience,Positive,1,,,
FOX News Media to Expand Distribution of Streaming Services Across DIRECTV Platforms,Positive,1,,,
"OLUMIANT® Long-Term Safety Profile Established Up to 9.3 Years in Integrated Analysis of More Than 3,700 Patients with Rheumatoid Arthritis",Positive,1,,,
"Exclusive: Swiss tech company plans to double in Boston with new HQ, CFO",Positive,1,,,
Mississippi Business Finance Corporation -- Moody's upgrades Entergy Texas to Baa2 and changes the outlooks for Entergy Arkansas and Entergy Mississippi to positive.,Positive,1,,,
Southern California Edison Files Annual Update to Wildfire Mitigation Plan,Positive,1,,,
FDA Grants Breakthrough Device Designation for Dexcom Hospital CGM System,Positive,1,,,
"Allegion Schedules Conference Call, Webcast to Announce 2021 Third-Quarter Results",Positive,1,,,
"Herman E. Bulls Appointed to Board of Directors of Host Hotels & Resorts, Inc.",Positive,1,,,
Why Activision Acquisition May Be Shareholders' Best Case Scenario,Positive,1,,,
"AllSquare Wealth Management LLC Buys Vanguard Short-Term Inflation-Protected Securities, Realty ...",Positive,1,,,
"A median-priced new home in the U.S. is roughly $77,000 more expensive than it was a year ago",Positive,1,,,
General Electric (GE) CEO Accumulates More Stock,Positive,1,,,
Applied Materials forecasts gloomy current quarter as supply chain woes persist,Negative,3,,,
"Adobe cuts full-year guidance, stock slides",Negative,3,,,
"Online Travels Letters to Shareholders Should Nix the Fluff, Stick to Facts",Negative,3,,,
RPT-EXPLAINER-How a massive options trade by a JP Morgan fund can move markets,Negative,3,,,
10 Stocks Losing Value Following Analyst Ratings Downgrades,Negative,3,,,
KLA Corporation Prices Senior Notes Offering,Negative,3,,,
